"Sucursal","","","","","",""
"Producto / Servicio + Variante","","","","","",""
"Cliente","Mes","","","","",""
"Ciudad","02 Febrero","","","","",""
"MARCA","Suma de Subtotal Neto","Suma de Subtotal Bruto","Suma de Margen Neto","Suma de Costo Neto","Suma de Impuestos","Suma de Cantidad"
"POLPA DI POMODORO MUTTI BUSTA 5 Kg","$1.171.850","$1.394.504","$595.130","$576.720","$222.654","108"
"POLPA DI POMODORO ROSSO GARGANO 4,050 kg","$1.379.040","$1.641.058","$516.360","$862.680","$262.018","156"
"POLPA RUSTICA DI POMODORO GRANORO FRASCO 680 g","$25.920","$30.845","$16.488","$9.432","$4.925","12"
"POMODORI CUBETTATA ROSSO GARGANO 2.5 kg","$3.640.020","$4.331.623","$2.256.318","$1.383.702","$691.603","618"
"POMODORI CUBETTATA ROSSO GARGANO 400 g","$28.800","$34.272","$12.720","$16.080","$5.472","24"
"POMODORI PELATI MUTTI 2.5 kg","$5.446.197","$6.480.973","$2.013.339","$3.432.858","$1.034.776","858"
"POMODORI PELATI ROSSO GARGANO 2.5 kg","$1.651.438","$1.965.213","$1.020.040","$631.398","$313.775","282"
"POMODORI SECCHI NOVELLA 3.100 ml","$322.400","$383.656","$234.702","$87.698","$61.256","13"
"POMODORI SECCHI NOVELLA 314 ml","$34.920","$41.555","$22.680","$12.240","$6.635","9"
"POMODORI SECCHI ORTO CONSERVIERA 2.9 kg","$276.860","$329.463","$169.423","$107.437","$52.603","11"
"POMODORINI ROSSO GARGANO 2.500 kg","$71.004","$84.495","$32.604","$38.400","$13.491","12"
"POMODORINI ROSSO GARGANO 400 g","$67.680","$80.539","$67.680","$0","$12.859","48"
"PRALINE DI CIOCCOLATO GRAN SPECIALITÁ 200 g","$2.670","$3.177","$445","$2.225","$507","1"
"PRALINE DI CIOCCOLATO ROXY CACAO 250 g","$2.670","$3.177","$1.036","$1.634","$507","1"
"PROSCIUTTO DI PARMA POR KG PRINCIPE Kg","$1.681.327","$2.000.781","$905.178","$776.149","$319.454","55,68"
"PROSCIUTTO MATTONELLA 2º SELECCION LAMINADO 500 g","$387.576","$461.214","$134.297","$253.279","$73.638","51"
"PROSCIUTTO MATTONELLA FILO CORTE BUONA Kg","$2.490.711","$2.963.943","$1.113.609","$1.377.102","$473.232","133,92"
"PROSCIUTTO MATTONELLA FILO LAMINADO 100 g","$42.280","$50.314","$26.068","$16.212","$8.034","14"
"PROSCIUTTO MATTONELLA FILO LAMINADO 200 g","$3.630","$4.320","$1.408","$2.222","$690","1"
"PROSCIUTTO MATTONELLA FILO LAMINADO 500 g","$6.363.653","$7.572.746","$2.996.551","$3.367.102","$1.209.093","620"
